model,single_precision,single_recall,single_f1,multiple_precision,multiple_recall,multiple_f1,all_precision,all_recall,all_f1,n_single,n_multiple,n_all
BiLSTM-CRF + Pho2W_syllable,0.6766467065868264,0.4589350180505415,0.5469212153804787,0.7001452960406829,0.5471965933286018,0.6142936817783443,0.695106291910401,0.5260770975056689,0.5988936693300553,235,296,531
BiLSTM-CRF + Pho2W_word,0.7766457680250783,0.447202166064982,0.5675830469644904,0.7560177161563644,0.5572746628814762,0.6416081058996568,0.7600865667027361,0.5309361839974085,0.6251748251748251,235,296,531
